part,exercise,dynamic,source_note,target_note,interval_semitones,start_beat,instruction
VlnI,legato,mp,60,55,-5,0.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,70,-2,675.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,71,-1,680.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,73,1,685.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,74,2,690.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,75,3,695.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,76,4,700.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,77,5,705.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,79,7,710.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,72,84,12,715.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,64,-12,720.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,69,-7,725.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,71,-5,730.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,72,-4,735.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,73,-3,740.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,74,-2,745.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,75,-1,750.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,77,1,755.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,78,2,760.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,79,3,765.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,80,4,770.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,81,5,775.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,83,7,780.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,76,88,12,785.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,67,-12,790.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,72,-7,795.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,74,-5,800.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,75,-4,805.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,76,-3,810.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,77,-2,815.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,78,-1,820.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,80,1,825.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,81,2,830.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,82,3,835.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,83,4,840.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,84,5,845.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,79,86,7,850.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,72,-12,855.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,77,-7,860.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,79,-5,865.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,80,-4,870.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,81,-3,875.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,82,-2,880.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,83,-1,885.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,85,1,890.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,86,2,895.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,87,3,900.0,connect naturally; preserve bow/finger noise
VlnI,legato,mf,84,88,4,905.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,55,-5,910.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,56,-4,915.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,57,-3,920.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,58,-2,925.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,59,-1,930.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,61,1,935.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,62,2,940.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,63,3,945.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,64,4,950.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,65,5,955.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,67,7,960.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,60,72,12,965.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,57,-7,970.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,59,-5,975.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,60,-4,980.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,61,-3,985.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,62,-2,990.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,63,-1,995.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,65,1,1000.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,66,2,1005.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,67,3,1010.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,68,4,1015.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,69,5,1020.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,71,7,1025.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,64,76,12,1030.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,55,-12,1035.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,60,-7,1040.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,62,-5,1045.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,63,-4,1050.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,64,-3,1055.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,65,-2,1060.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,66,-1,1065.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,68,1,1070.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,69,2,1075.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,70,3,1080.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,71,4,1085.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,72,5,1090.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,74,7,1095.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,67,79,12,1100.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,60,-12,1105.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,65,-7,1110.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,67,-5,1115.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,68,-4,1120.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,69,-3,1125.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,70,-2,1130.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,71,-1,1135.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,73,1,1140.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,74,2,1145.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,75,3,1150.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,76,4,1155.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,77,5,1160.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,79,7,1165.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,72,84,12,1170.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,64,-12,1175.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,69,-7,1180.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,71,-5,1185.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,72,-4,1190.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,73,-3,1195.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,74,-2,1200.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,75,-1,1205.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,77,1,1210.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,78,2,1215.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,79,3,1220.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,80,4,1225.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,81,5,1230.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,83,7,1235.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,76,88,12,1240.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,67,-12,1245.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,72,-7,1250.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,74,-5,1255.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,75,-4,1260.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,76,-3,1265.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,77,-2,1270.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,78,-1,1275.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,80,1,1280.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,81,2,1285.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,82,3,1290.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,83,4,1295.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,84,5,1300.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,79,86,7,1305.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,72,-12,1310.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,77,-7,1315.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,79,-5,1320.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,80,-4,1325.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,81,-3,1330.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,82,-2,1335.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,83,-1,1340.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,85,1,1345.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,86,2,1350.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,87,3,1355.0,connect naturally; preserve bow/finger noise
VlnI,legato,f,84,88,4,1360.0,connect naturally; preserve bow/finger noise
VlnI,portamento,mp,64,55,-9,0.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,57,-7,5.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,59,-5,10.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,60,-4,15.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,61,-3,20.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,67,3,25.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,68,4,30.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,69,5,35.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,71,7,40.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,73,9,45.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,64,76,12,50.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,55,-12,55.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,58,-9,60.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,60,-7,65.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,62,-5,70.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,63,-4,75.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,64,-3,80.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,70,3,85.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,71,4,90.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,72,5,95.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,74,7,100.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,76,9,105.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,67,79,12,110.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,60,-12,115.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,63,-9,120.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,65,-7,125.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,67,-5,130.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,68,-4,135.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,69,-3,140.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,75,3,145.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,76,4,150.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,77,5,155.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,79,7,160.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,81,9,165.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,72,84,12,170.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,64,-12,175.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,67,-9,180.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,69,-7,185.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,71,-5,190.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,72,-4,195.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,73,-3,200.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,79,3,205.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,80,4,210.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,81,5,215.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,83,7,220.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,85,9,225.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,76,88,12,230.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,67,-12,235.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,70,-9,240.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,72,-7,245.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,74,-5,250.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,75,-4,255.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,76,-3,260.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,82,3,265.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,83,4,270.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,84,5,275.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,86,7,280.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mp,79,88,9,285.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,55,-9,290.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,57,-7,295.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,59,-5,300.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,60,-4,305.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,61,-3,310.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,67,3,315.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,68,4,320.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,69,5,325.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,71,7,330.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,73,9,335.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,64,76,12,340.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,67,55,-12,345.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,67,58,-9,350.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,67,60,-7,355.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,67,62,-5,360.0,restrained Mandarin-ballad slide; do not exaggerate
VlnI,portamento,mf,67,63,-4,365.0,restrained Mandarin-ballad slide; do not exaggerate
